"#","theta","I","I_n","I_n_delta","cos_sqr","cos_sqr_delta"
"0.0","29.3","1.0","0.004826667448372338","1.0","0.0",
"0.17453292519943295","29.0","0.9897610921501706","0.004802021122414846","0.9698463103929541","0.029846888045879136",
"0.3490658503988659","28.4","0.9692832764505118","0.004753115842986925","0.8830222215594891","0.05609380090027153",
"0.5235987755982988","26.9","0.9180887372013651","0.004633207221281047","0.7500000000000001","0.07557497350975907",
"0.6981317007977318","25.4","0.8668941979522183","0.004516875692066357","0.5868240888334653","0.08594068894615067",
"0.8726646259971648","23.9","0.8156996587030716","0.00440440470479276","0.41317591116653485","0.08594068894615067",
"1.0471975511965976","22.9","0.7815699658703071","0.004331717718916637","0.2500000000000001","0.07557497350975909",
"1.2217304763960306","22.1","0.7542662116040956","0.0042749637432619066","0.11697777844051105","0.05609380090027155",
"1.3962634015954636","21.3","0.726962457337884","0.004219504615856877","0.03015368960704583","0.02984688804587915",
"1.5707963267948966","21.0","0.7167235494880546","0.004199051780843109","3.749399456654644e-33","1.0687059409565499e-17",
